"Year","Region","Max","MaxDomain","Emigrations","Immigrations","Dropouts","Women.enrolled","Employment.rate","Unemployment.rate","Abortions.2529","Abortions.3034","Area"
"2002","Abruzzo",89.1297495940513,30.8243243243243,8.0434991011633,9.74308878161477,NA,NA,59.209619,8.866168,NA,NA,"Sud"
"2002","Basilicata",93.7141831149914,30.2627627627628,7.32503437430393,5.78828108383311,NA,NA,49.609119,13.354153,NA,NA,"Sud"
"2002","Calabria",87.379591599176,28.8852852852853,9.7927232799767,7.80207002840874,NA,NA,45.279067,17.774962,NA,NA,"Sud"
"2002","Campania",103.108678067755,29.0570570570571,11.2724962026063,8.86139240928273,NA,NA,45.470752,17.570552,NA,NA,"Sud"
"2002","Emilia_Romagna",87.2767197605689,30.64998331665,10.612084001361,15.1927591718173,NA,NA,69.871623,2.543064,NA,NA,"Centro"
"2002","Friuli_Venezia_Giulia",83.8862261230194,31.1051051051051,10.2046656025552,13.7999667430002,NA,NA,63.819482,4.373561,NA,NA,"Nord"
"2002","Lazio",89.1675792052719,30.4312312312312,8.72037755410888,10.2489300542833,NA,NA,55.606285,8.380814,NA,NA,"Centro"
"2002","Liguria",82.1134753280131,31.1051051051051,10.3854913409657,12.1732163510284,NA,NA,61.708131,7.475302,NA,NA,"Nord"
"2002","Lombardia",93.5631842080554,30.7945945945946,12.1444880615911,14.7698189122782,NA,NA,64.662192,3.344505,NA,NA,"Nord"
"2002","Marche",93.4018295062976,30.6162162162162,7.85103752340181,11.9917738454245,NA,NA,63.625944,4.950542,NA,NA,"Centro"
"2002","Molise",91.3089121588954,30.8408408408408,7.74102876417127,8.88534932383897,NA,NA,53.277885,8.836002,NA,NA,"Centro"
"2002","Piemonte",87.3964027057686,30.6963213213213,12.5500210552502,14.0232713924428,NA,NA,62.380618,6.382212,NA,NA,"Nord"
"2002","Puglia",95.2672335527162,29.6186186186186,7.28655301796158,5.89012742576282,NA,NA,46.226022,13.311384,NA,NA,"Sud"
"2002","Sardegna",72.9558083099724,32.0960960960961,7.9589988736224,7.90206649799632,NA,NA,52.37151,13.480634,NA,NA,"Sud"
"2002","Sicilia",97.8259991249159,28.9322655989323,8.88324576742403,7.24666448976568,NA,NA,43.883753,20.585492,NA,NA,"Sud"
"2002","Toscana",86.309213887329,30.7623873873874,9.41593988641108,12.4303072582192,NA,NA,64.193488,4.050434,NA,NA,"Centro"
"2002","Trentino_Alto_Adige",108.47807009246,30.1966966966967,9.08736806032987,11.6470881215452,NA,NA,66.329633,3.285258,NA,NA,"Nord"
"2002","Umbria",89.8145319991311,30.5105105105105,7.0926775892788,10.7693760167325,NA,NA,62.276583,7.087427,NA,NA,"Centro"
"2002","Valle_d_Aosta",89.0687679371512,30.8078078078078,31.5449906574945,35.2786412729268,NA,NA,70.692094,2.554935,NA,NA,"Nord"
"2002","Veneto",92.8117211061334,30.991848991849,10.4627198654298,13.3740200932106,NA,NA,63.882951,4.428281,NA,NA,"Nord"
"2003","Abruzzo",90.9719960911564,30.9399399399399,7.95182832886174,10.9541168461219,NA,NA,57.992025,8.147338,NA,NA,"Sud"
"2003","Basilicata",92.3676027293893,30.4114114114114,7.42958225608926,6.59130577940393,NA,NA,49.627829,13.296563,NA,NA,"Sud"
"2003","Calabria",90.4772263544537,29.3675675675676,10.181586154787,9.73533416643039,NA,NA,45.207959,16.342139,NA,NA,"Sud"
"2003","Campania",102.639123269465,29.5591591591592,11.1299000175814,10.2747058100725,NA,NA,45.770024,16.644636,NA,NA,"Sud"
"2003","Emilia_Romagna",86.5459985443355,30.9289289289289,10.2667164051472,16.3690330864173,NA,NA,69.556678,3.061929,NA,NA,"Centro"
"2003","Friuli_Venezia_Giulia",87.6400542273817,31.0968468468468,10.4503823208134,14.8248046382657,NA,NA,63.120501,5.065655,NA,NA,"Nord"
"2003","Lazio",91.1191282335139,30.5831831831832,8.58299131921067,11.7059117008136,NA,NA,57.167067,9.189365,NA,NA,"Centro"
"2003","Liguria",84.0210593197091,31.2454954954955,9.94150592433457,13.6830096805687,NA,NA,60.46597,6.524995,NA,NA,"Nord"
"2003","Lombardia",94.5749573079146,31.157957957958,11.9114386837248,16.0499961738746,NA,NA,65.262489,3.561449,NA,NA,"Nord"
"2003","Marche",91.4191972396493,30.9333333333333,8.34981694989345,14.3813179607672,NA,NA,64.098366,4.62617,NA,NA,"Centro"
"2003","Molise",89.4117974148714,31.3198198198198,7.82131274950762,8.92562293019873,NA,NA,51.790901,10.590351,NA,NA,"Centro"
"2003","Piemonte",88.2298541451425,31.0927177177177,12.1345746013746,16.3102829043323,NA,NA,62.90419,5.416458,NA,NA,"Nord"
"2003","Puglia",95.8131456770609,30.037037037037,7.15458174714598,6.34635599050263,NA,NA,45.416346,14.958621,NA,NA,"Sud"
"2003","Sardegna",75.9449204002642,32.248048048048,8.08304479612863,8.58804362278144,NA,NA,51.229849,14.030383,NA,NA,"Sud"
"2003","Sicilia",98.4401354018854,29.4387721054388,8.60230515629185,7.80027349311937,NA,NA,43.255634,20.028732,NA,NA,"Sud"
"2003","Toscana",85.8497809367061,31.3776276276276,9.36551187453978,14.2912890629336,NA,NA,63.786271,4.861212,NA,NA,"Centro"
"2003","Trentino_Alto_Adige",106.966133825456,30.5930930930931,9.71281851205509,13.4430672058459,NA,NA,67.184472,2.801879,NA,NA,"Nord"
"2003","Umbria",85.7408112155787,31.0885885885886,7.40105134450788,13.366131687639,NA,NA,60.965668,6.529581,NA,NA,"Centro"
