"Year","Region","Max","MaxDomain","Emigrations","Immigrations","Women.enrolled","Dropouts","Employment.rate","Unemployment.rate","Abortions.2529","Abortions.3034","Area"
"2008","Abruzzo",1.37968781710186,22.1021021021021,9.40588283292928,13.0446951019098,57.4833447481477,15,58.807944,6.617431,NA,NA,"Sud"
"2008","Basilicata",1.94395936328969,21.7317317317317,7.39575459867291,6.36793136925368,57.4064762670957,8.7,49.611858,10.992651,NA,NA,"Sud"
"2008","Calabria",1.88429595260418,20.5185185185185,9.63827904765225,9.28811404565889,57.3900403089737,15.5,44.02132,12.013911,NA,NA,"Sud"
"2008","Campania",2.44944985082629,21.1111111111111,11.9992497897596,10.5303934541564,56.9877040084045,25.8,42.398161,12.544476,NA,NA,"Sud"
"2008","Emilia_Romagna",0.384457887777268,22.2956289622956,12.0385490897608,19.2466175827535,55.8904903309915,11.8,70.159335,3.185249,NA,NA,"Centro"
"2008","Friuli_Venezia_Giulia",0.417469808430874,24.0565565565566,11.7608102811778,16.2776003464088,55.0654774466573,12.2,65.184613,4.263738,NA,NA,"Nord"
"2008","Lazio",1.29832967999424,22.1941941941942,10.5467731798792,15.0843620979568,55.877029002298,10.6,60.228552,7.466821,NA,NA,"Centro"
"2008","Liguria",0.858387630988481,22.3098098098098,10.9962493266281,15.0772143592879,55.8267284693228,9.8,63.643494,5.355984,NA,NA,"Nord"
"2008","Lombardia",0.853927932830607,22.2542542542543,13.0594694371208,16.9507948377495,55.2697985110131,15.1,66.913999,3.696468,NA,NA,"Nord"
"2008","Marche",0.620055239827792,24.3403403403403,10.1666979178823,15.3459640694065,57.2126942245676,13.8,64.709191,4.654408,NA,NA,"Centro"
"2008","Molise",1.50792431927678,22.0970970970971,8.58095367015366,9.98183575365882,57.1729676961306,12.6,54.117248,9.134434,NA,NA,"Centro"
"2008","Piemonte",0.679658585228822,21.9732232232232,13.1260249185859,17.0458344394672,55.7625169079029,17.3,65.188535,5.079194,NA,NA,"Nord"
"2008","Puglia",2.07122498500196,21.7834501167834,7.1432711967153,6.60476257379808,58.156157746153,18.7,46.579133,11.602327,NA,NA,"Sud"
"2008","Sardegna",0.920558967624966,25.7697697697698,8.92558054355881,10.0650189380847,61.3825076893611,18.3,52.325067,12.178994,NA,NA,"Sud"
"2008","Sicilia",1.78341091215304,20.6829051273496,8.95337009860115,9.0811221607164,58.3415998173263,23,44.146778,13.689715,NA,NA,"Sud"
"2008","Toscana",0.473621620483954,23.6524024024024,10.254666753603,14.8719159756966,56.0315457413249,13,65.25311,5.040445,NA,NA,"Centro"
"2008","Trentino_Alto_Adige",1.58366646917018,21.7467467467468,11.0016579344791,15.3035038214342,57.6006881338531,13.1,68.518151,2.794996,NA,NA,"Nord"
"2008","Umbria",0.631338941859096,24.064064064064,8.82042702614507,14.6055718845729,57.3940086316324,12.6,65.29967,4.764511,NA,NA,"Centro"
"2008","Veneto",0.926398281989862,23.7251537251537,11.8214068125058,16.3733079347181,55.3154677227114,13.3,66.448394,3.442695,NA,NA,"Nord"
"2009","Abruzzo",0.78511781210091,22.2447447447448,9.18777474927887,11.0442117972262,58.0031488614937,11.7,55.722508,7.957827,NA,NA,"Sud"
"2009","Basilicata",1.30700123010064,22.3223223223223,7.53346668718264,6.23343762288215,57.5337986543419,9.2,48.38424,11.222414,NA,NA,"Sud"
"2009","Calabria",1.53844739112221,21.0970970970971,9.68638742210532,9.53723842640726,57.9133329113783,12.7,43.004185,11.308793,NA,NA,"Sud"
"2009","Campania",2.56863469505975,21.6136136136136,10.8877508228036,10.2785403603226,57.4948090771202,23.2,40.767505,12.919312,NA,NA,"Sud"
"2009","Emilia_Romagna",0.398048633676716,22.8016905794684,11.5600068649211,16.7735846383689,55.9349404973872,11.2,68.384136,4.730837,NA,NA,"Centro"
"2009","Friuli_Venezia_Giulia",0.434057465635366,23.6736736736737,11.6383987954139,14.603320287461,55.6846056429623,12.3,63.477053,5.21489,NA,NA,"Nord"
"2009","Lazio",1.05877677646873,22.1881881881882,8.69212901723343,12.7686218909963,56.2376102501833,7.7,59.515639,8.387542,NA,NA,"Centro"
"2009","Liguria",0.759210437598709,23.0705705705706,10.4610511246055,13.747623917947,56.119422174468,10.7,63.225825,5.772134,NA,NA,"Nord"
"2009","Lombardia",0.855020644293731,21.993993993994,11.8549899602283,15.4637891402199,55.6794401010819,17,65.696554,5.293421,NA,NA,"Nord"
"2009","Marche",0.61534294633177,21.3993993993994,10.1256509309952,13.3412143618119,57.2405426271093,15.3,63.624592,6.610115,NA,NA,"Centro"
"2009","Molise",1.18031875141735,22.3623623623624,9.00398004301726,9.77980459313364,57.4710060235548,13.6,52.179034,9.0035,NA,NA,"Centro"
"2009","Piemonte",0.588525476201621,22.9704704704705,12.8577775448781,15.8209295278542,55.8674313056328,17.1,63.903064,6.783735,NA,NA,"Nord"
"2009","Puglia",2.19736943492466,21.9085752419086,6.61951315993607,6.2804569146862,58.2090811780748,18.9,44.909423,12.620016,NA,NA,"Sud"
"2009","Sardegna",0.847309564544563,25.1891891891892,8.75575953237769,9.41160671671721,61.5264604932384,16.9,50.783691,13.187076,NA,NA,"Sud"
"2009","Sicilia",1.4482388582996,20.3225447669892,8.25621154676319,8.53207712470158,58.5991453891639,23.6,43.574466,13.759448,NA,NA,"Sud"
"2009","Toscana",0.817246061757019,22.9704704704705,10.368190799601,14.5814611759583,56.2353539448999,15.6,64.7132,5.767092,NA,NA,"Centro"
